id,titulo,cidade,tipo,preco,dormitorios,area,descricao
1001,Casa com 1 dormitórios em Bertioga,Bertioga,Casa,950000,1,55,"Oportunidade de casa no litoral paulista. 1 dormitórios, 55m², localização privilegiada em Bertioga."
1002,Cobertura com 1 dormitórios em Guarujá,Guarujá,Cobertura,1800000,1,240,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 240m², localização privilegiada em Guarujá."
1003,Apartamento com 4 dormitórios em Ilhabela,Ilhabela,Apartamento,250000,4,160,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 160m², localização privilegiada em Ilhabela."
1004,Casa com 5 dormitórios em Guarujá,Guarujá,Casa,250000,5,160,"Oportunidade de casa no litoral paulista. 5 dormitórios, 160m², localização privilegiada em Guarujá."
1005,Studio com 2 dormitórios em Santos,Santos,Studio,250000,2,280,"Oportunidade de studio no litoral paulista. 2 dormitórios, 280m², localização privilegiada em Santos."
1006,Studio com 4 dormitórios em Santos,Santos,Studio,1800000,4,35,"Oportunidade de studio no litoral paulista. 4 dormitórios, 35m², localização privilegiada em Santos."
1007,Apartamento com 2 dormitórios em Ilhabela,Ilhabela,Apartamento,1500000,2,110,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 110m², localização privilegiada em Ilhabela."
1008,Casa com 1 dormitórios em Peruíbe,Peruíbe,Casa,1500000,1,280,"Oportunidade de casa no litoral paulista. 1 dormitórios, 280m², localização privilegiada em Peruíbe."
1009,Studio com 1 dormitórios em Praia Grande,Praia Grande,Studio,320000,1,280,"Oportunidade de studio no litoral paulista. 1 dormitórios, 280m², localização privilegiada em Praia Grande."
1010,Cobertura com 5 dormitórios em Ilhabela,Ilhabela,Cobertura,250000,5,55,"Oportunidade de cobertura no litoral paulista. 5 dormitórios, 55m², localização privilegiada em Ilhabela."
1011,Studio com 4 dormitórios em Santos,Santos,Studio,450000,4,240,"Oportunidade de studio no litoral paulista. 4 dormitórios, 240m², localização privilegiada em Santos."
1012,Cobertura com 5 dormitórios em Peruíbe,Peruíbe,Cobertura,1200000,5,200,"Oportunidade de cobertura no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Peruíbe."
1013,Cobertura com 2 dormitórios em Bertioga,Bertioga,Cobertura,450000,2,90,"Oportunidade de cobertura no litoral paulista. 2 dormitórios, 90m², localização privilegiada em Bertioga."
1014,Studio com 5 dormitórios em Guarujá,Guarujá,Studio,520000,5,200,"Oportunidade de studio no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Guarujá."
1015,Loft com 3 dormitórios em Bertioga,Bertioga,Loft,1200000,3,280,"Oportunidade de loft no litoral paulista. 3 dormitórios, 280m², localização privilegiada em Bertioga."
1016,Apartamento com 4 dormitórios em Guarujá,Guarujá,Apartamento,1500000,4,75,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 75m², localização privilegiada em Guarujá."
1017,Casa com 4 dormitórios em Bertioga,Bertioga,Casa,1200000,4,35,"Oportunidade de casa no litoral paulista. 4 dormitórios, 35m², localização privilegiada em Bertioga."
1018,Studio com 3 dormitórios em Guarujá,Guarujá,Studio,1800000,3,130,"Oportunidade de studio no litoral paulista. 3 dormitórios, 130m², localização privilegiada em Guarujá."
1019,Studio com 5 dormitórios em Bertioga,Bertioga,Studio,1200000,5,200,"Oportunidade de studio no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Bertioga."
1020,Apartamento com 4 dormitórios em Guarujá,Guarujá,Apartamento,520000,4,55,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 55m², localização privilegiada em Guarujá."
1021,Loft com 5 dormitórios em Santos,Santos,Loft,520000,5,200,"Oportunidade de loft no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Santos."
1022,Loft com 3 dormitórios em Praia Grande,Praia Grande,Loft,950000,3,35,"Oportunidade de loft no litoral paulista. 3 dormitórios, 35m², localização privilegiada em Praia Grande."
1023,Cobertura com 5 dormitórios em Itanhaém,Itanhaém,Cobertura,320000,5,55,"Oportunidade de cobertura no litoral paulista. 5 dormitórios, 55m², localização privilegiada em Itanhaém."
1024,Apartamento com 3 dormitórios em Itanhaém,Itanhaém,Apartamento,450000,3,75,"Oportunidade de apartamento no litoral paulista. 3 dormitórios, 75m², localização privilegiada em Itanhaém."
1025,Flat com 4 dormitórios em Ilhabela,Ilhabela,Flat,950000,4,55,"Oportunidade de flat no litoral paulista. 4 dormitórios, 55m², localização privilegiada em Ilhabela."
1026,Flat com 5 dormitórios em Ubatuba,Ubatuba,Flat,950000,5,110,"Oportunidade de flat no litoral paulista. 5 dormitórios, 110m², localização privilegiada em Ubatuba."
1027,Flat com 3 dormitórios em Ubatuba,Ubatuba,Flat,1500000,3,160,"Oportunidade de flat no litoral paulista. 3 dormitórios, 160m², localização privilegiada em Ubatuba."
1028,Loft com 2 dormitórios em Bertioga,Bertioga,Loft,950000,2,75,"Oportunidade de loft no litoral paulista. 2 dormitórios, 75m², localização privilegiada em Bertioga."
1029,Casa com 2 dormitórios em Guarujá,Guarujá,Casa,320000,2,90,"Oportunidade de casa no litoral paulista. 2 dormitórios, 90m², localização privilegiada em Guarujá."
1030,Flat com 2 dormitórios em Santos,Santos,Flat,1800000,2,110,"Oportunidade de flat no litoral paulista. 2 dormitórios, 110m², localização privilegiada em Santos."
1031,Apartamento com 4 dormitórios em Praia Grande,Praia Grande,Apartamento,320000,4,240,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 240m², localização privilegiada em Praia Grande."
1032,Studio com 3 dormitórios em Bertioga,Bertioga,Studio,1800000,3,75,"Oportunidade de studio no litoral paulista. 3 dormitórios, 75m², localização privilegiada em Bertioga."
1033,Flat com 4 dormitórios em Santos,Santos,Flat,1500000,4,160,"Oportunidade de flat no litoral paulista. 4 dormitórios, 160m², localização privilegiada em Santos."
1034,Flat com 4 dormitórios em Peruíbe,Peruíbe,Flat,250000,4,160,"Oportunidade de flat no litoral paulista. 4 dormitórios, 160m², localização privilegiada em Peruíbe."
1035,Casa com 2 dormitórios em Santos,Santos,Casa,250000,2,200,"Oportunidade de casa no litoral paulista. 2 dormitórios, 200m², localização privilegiada em Santos."
1036,Apartamento com 5 dormitórios em Ubatuba,Ubatuba,Apartamento,750000,5,35,"Oportunidade de apartamento no litoral paulista. 5 dormitórios, 35m², localização privilegiada em Ubatuba."
1037,Apartamento com 2 dormitórios em Guarujá,Guarujá,Apartamento,1800000,2,240,"Oportunidade de apartamento no litoral paulista. 2 dormitórios, 240m², localização privilegiada em Guarujá."
1038,Cobertura com 1 dormitórios em Guarujá,Guarujá,Cobertura,1800000,1,55,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 55m², localização privilegiada em Guarujá."
1039,Studio com 2 dormitórios em Ilhabela,Ilhabela,Studio,950000,2,110,"Oportunidade de studio no litoral paulista. 2 dormitórios, 110m², localização privilegiada em Ilhabela."
1040,Studio com 4 dormitórios em Bertioga,Bertioga,Studio,750000,4,55,"Oportunidade de studio no litoral paulista. 4 dormitórios, 55m², localização privilegiada em Bertioga."
1041,Flat com 4 dormitórios em Guarujá,Guarujá,Flat,1200000,4,200,"Oportunidade de flat no litoral paulista. 4 dormitórios, 200m², localização privilegiada em Guarujá."
1042,Apartamento com 1 dormitórios em Praia Grande,Praia Grande,Apartamento,320000,1,130,"Oportunidade de apartamento no litoral paulista. 1 dormitórios, 130m², localização privilegiada em Praia Grande."
1043,Flat com 5 dormitórios em Praia Grande,Praia Grande,Flat,320000,5,35,"Oportunidade de flat no litoral paulista. 5 dormitórios, 35m², localização privilegiada em Praia Grande."
1044,Studio com 2 dormitórios em Ilhabela,Ilhabela,Studio,750000,2,240,"Oportunidade de studio no litoral paulista. 2 dormitórios, 240m², localização privilegiada em Ilhabela."
1045,Studio com 1 dormitórios em Santos,Santos,Studio,520000,1,110,"Oportunidade de studio no litoral paulista. 1 dormitórios, 110m², localização privilegiada em Santos."
1046,Casa com 2 dormitórios em Bertioga,Bertioga,Casa,750000,2,240,"Oportunidade de casa no litoral paulista. 2 dormitórios, 240m², localização privilegiada em Bertioga."
1047,Loft com 5 dormitórios em Bertioga,Bertioga,Loft,450000,5,90,"Oportunidade de loft no litoral paulista. 5 dormitórios, 90m², localização privilegiada em Bertioga."
1048,Flat com 2 dormitórios em Ilhabela,Ilhabela,Flat,450000,2,240,"Oportunidade de flat no litoral paulista. 2 dormitórios, 240m², localização privilegiada em Ilhabela."
1049,Cobertura com 1 dormitórios em Itanhaém,Itanhaém,Cobertura,180000,1,110,"Oportunidade de cobertura no litoral paulista. 1 dormitórios, 110m², localização privilegiada em Itanhaém."
1050,Cobertura com 5 dormitórios em Itanhaém,Itanhaém,Cobertura,450000,5,130,"Oportunidade de cobertura no litoral paulista. 5 dormitórios, 130m², localização privilegiada em Itanhaém."
1051,Loft com 3 dormitórios em Itanhaém,Itanhaém,Loft,750000,3,55,"Oportunidade de loft no litoral paulista. 3 dormitórios, 55m², localização privilegiada em Itanhaém."
1052,Apartamento com 4 dormitórios em Ilhabela,Ilhabela,Apartamento,450000,4,90,"Oportunidade de apartamento no litoral paulista. 4 dormitórios, 90m², localização privilegiada em Ilhabela."
1053,Casa com 5 dormitórios em Bertioga,Bertioga,Casa,1200000,5,280,"Oportunidade de casa no litoral paulista. 5 dormitórios, 280m², localização privilegiada em Bertioga."
1054,Flat com 1 dormitórios em Santos,Santos,Flat,750000,1,55,"Oportunidade de flat no litoral paulista. 1 dormitórios, 55m², localização privilegiada em Santos."
1055,Loft com 4 dormitórios em Peruíbe,Peruíbe,Loft,450000,4,75,"Oportunidade de loft no litoral paulista. 4 dormitórios, 75m², localização privilegiada em Peruíbe."
1056,Loft com 1 dormitórios em Peruíbe,Peruíbe,Loft,750000,1,160,"Oportunidade de loft no litoral paulista. 1 dormitórios, 160m², localização privilegiada em Peruíbe."
1057,Flat com 2 dormitórios em Itanhaém,Itanhaém,Flat,250000,2,75,"Oportunidade de flat no litoral paulista. 2 dormitórios, 75m², localização privilegiada em Itanhaém."
1058,Apartamento com 5 dormitórios em Ubatuba,Ubatuba,Apartamento,320000,5,200,"Oportunidade de apartamento no litoral paulista. 5 dormitórios, 200m², localização privilegiada em Ubatuba."
1059,Studio com 4 dormitórios em Ubatuba,Ubatuba,Studio,1800000,4,130,"Oportunidade de studio no litoral paulista. 4 dormitórios, 130m², localização privilegiada em Ubatuba."
1060,Studio com 2 dormitórios em Ubatuba,Ubatuba,Studio,1500000,2,35,"Oportunidade de studio no litoral paulista. 2 dormitórios, 35m², localização privilegiada em Ubatuba."
